code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
603192,汇得科技,化工原料,上海,30.16,0.27,1.07,178750.36,160609.5,8650.07,71584.93,6.71,1.1,10.24,3.36,20180828,24220.7,2.27,0.0,0.0,18.23,7.24,19843.0
603937,丽岛新材,铝,江苏,24.25,0.52,2.09,160725.05,142745.98,11774.96,55184.35,2.64,0.243,6.01,1.96,20171102,45195.48,2.16,8.85,20.74,15.67,8.53,26405.0
002382,蓝帆医疗,医疗保健,山东,53.13,4.86,9.64,1229334.38,321357.81,118544.01,397743.16,4.13,0.27,6.34,2.57,20100402,61287.61,0.64,23.97,42.89,31.66,15.26,16958.0
300346,南大光电,元器件,江苏,40.31,2.37,2.73,138824.0,98931.45,21383.24,54802.16,2.0,0.183,4.55,2.16,20120807,37712.23,1.38,56.63,69.93,52.25,27.44,10373.0
603515,欧普照明,电气设备,上海,26.07,1.27,7.56,682357.44,517636.06,107194.22,94410.52,1.25,0.76,5.28,4.96,20160819,209898.95,2.78,15.83,37.11,36.96,10.21,11640.0
603365,水星家纺,纺织,上海,14.41,0.67,2.67,246950.7,192863.8,32443.1,89942.9,3.37,0.6779999999999999,7.81,1.67,20171120,82429.32,3.09,13.62,15.22,34.91,10.02,17636.0
600009,上海机场,机场,上海,22.8,10.93,19.27,2987108.0,1003774.88,855755.19,257549.8,1.34,1.63,14.09,3.52,19980218,2134286.0,11.08,14.84,16.66,51.7,45.51,33082.0
002221,东华能源,石油贸易,江苏,11.65,15.19,16.5,2764396.25,1742154.25,821570.31,394683.28,2.39,0.56,5.2,1.64,20080306,287860.25,1.74,47.79,10.73,5.65,2.62,26366.0
300590,移为通信,通信设备,上海,32.88,0.97,1.61,99137.93,87441.88,9528.46,43597.55,2.7,0.52,5.12,4.37,20170111,19173.4,1.19,43.73,36.1,46.89,27.07,17630.0
000582,北部湾港,港口,广西,15.26,2.63,13.87,1588364.75,245680.55,1024802.19,270373.31,1.95,0.36200000000000004,5.4,1.36,19951102,304234.47,2.19,17.01,2.02,38.17,16.67,34883.0
601390,中国中铁,建筑施工,北京,8.84,186.36,228.44,88170328.0,65493876.0,5210788.0,4572731.5,2.0,0.39,6.67,1.11,20071203,7381531.0,3.23,5.27,23.94,9.99,3.04,651478.0
002614,奥佳华,医疗保健,福建,19.76,2.89,5.62,572157.06,398062.84,60314.78,122060.88,2.17,0.56,5.6,2.59,20110909,140283.55,2.5,30.8,47.04,36.16,8.18,16326.0
600491,龙元建设,建筑施工,浙江,14.1,9.48,15.3,4799421.0,3025863.75,53757.46,405098.31,2.65,0.364,6.08,1.13,20040524,296230.94,1.94,20.49,52.95,9.17,3.69,43152.0
000595,宝塔实业,机械基件,宁夏,212.43,7.54,7.64,183285.05,87312.47,47094.18,47904.48,0.63,0.006999999999999999,0.92,3.4,19960419,-50603.35,-0.66,25.7,-54.32,22.64,2.36,49531.0
600455,博通股份,软件服务,陕西,157.5,0.62,0.62,74508.22,24627.18,42589.4,14566.34,2.33,0.111,2.17,10.71,20040329,-7992.13,-1.28,11.97,-31.06,55.03,5.36,4865.0
603883,老百姓,医药商业,湖南,37.34,2.67,2.85,769960.56,415607.97,32921.07,129878.0,4.56,1.139,10.3,5.51,20150423,125747.57,4.41,28.77,18.33,35.56,4.79,10608.0
603018,中设集团,建筑施工,江苏,15.15,3.09,3.14,622534.06,525833.25,42218.56,81374.06,2.59,0.772,7.39,2.11,20141013,115166.06,3.67,63.37,35.17,30.15,9.18,11768.0
002121,科陆电子,电器仪表,深圳,246.35,9.06,14.08,1555498.0,745784.81,363486.56,191389.52,1.36,0.013999999999999999,3.42,1.35,20070306,135414.52,0.96,6.03,-92.69,29.04,0.67,65989.0
603444,吉比特,互联网,福建,11.46,0.41,0.72,363221.78,243639.45,3025.11,106672.57,14.84,7.09,37.32,2.89,20170104,156276.31,21.74,8.9,14.3,91.46,43.7,19265.0
600557,康缘药业,中成药,江苏,13.89,5.99,6.16,535870.5,267024.53,178717.81,52563.3,0.85,0.515,6.11,1.56,20020918,231320.2,3.75,14.22,5.51,75.51,11.53,30457.0
600053,九鼎投资,多元金融,江西,26.79,4.34,4.34,505227.31,327790.84,3925.15,18868.02,0.44,0.389,4.71,2.95,19970418,134316.16,3.1,30.65,22.24,93.87,28.29,17294.0
600495,晋西车轴,运输设备,山西,98.96,12.08,12.08,394752.34,230376.59,100167.96,116013.51,0.96,0.033,2.61,1.67,20040526,57952.67,0.48,-13.43,99.96,18.81,4.37,139698.0
002240,威华股份,家居用品,广东,27.93,4.91,5.35,353180.31,168718.69,147667.06,151193.36,2.82,0.23399999999999999,4.04,2.15,20080523,3285.87,0.06,30.54,575.56,11.67,6.5,28878.0
000911,南宁糖业,食品,广西,0.0,3.24,3.24,680922.56,366297.63,156156.16,144013.73,4.44,-1.999,2.33,2.62,19990527,-116194.42,-3.59,68.77,-546.43,1.83,-22.75,48426.0
000407,胜利股份,供气供热,山东,27.61,7.46,8.8,624444.69,216090.13,119439.81,101575.68,1.15,0.10300000000000001,2.57,1.47,19960703,24031.85,0.27,25.92,12.31,16.84,2.87,54725.0
603609,禾丰牧业,饲料,辽宁,11.67,8.31,8.31,684712.69,333695.75,153487.45,9895.74,0.12,0.488,4.46,1.7,20140808,254520.2,3.06,14.85,53.42,8.44,3.53,24033.0
300545,联得装备,专用机械,深圳,26.92,0.46,1.44,120745.9,89122.68,1526.4,18181.17,1.26,0.489,4.0,4.39,20160928,24403.5,1.69,40.52,64.99,33.72,14.26,10121.0
600997,开滦股份,煤炭开采,河北,8.39,12.35,15.88,2311500.75,948792.19,1008718.81,256677.59,1.62,0.36700000000000005,6.14,1.0,20040602,433318.31,2.73,10.67,156.92,14.78,5.81,67279.0
300463,迈克生物,医疗保健,四川,21.08,3.67,5.58,431808.81,279027.25,95407.25,47707.81,0.85,0.637,4.65,3.85,20150528,157784.97,2.83,44.11,19.2,52.27,18.19,17719.0
